z_palm_facing_in_pull
z_palm_facing_in_pull_left
zoom_out_right
zoom_out_left
pointer_up_right
pointer_up_left
pointer_down_right
pointer_down_left
pointer_goleft_right
pointer_goright_right
pointer_goright_left
pointer_goleft_left
two_fingers_right
two_fingers_left
fist_right
fist_left
palm_left
palm_right
